"","genomescan.sid","methylation.sid","ProtID"
"1","104059-002-001","204088040040_R03C01",NA
"2","104059-002-002","203989100149_R02C01",NA
"3","104059-002-006","203989100024_R01C01",NA
"4","104059-002-007","203989100024_R02C01",NA
"5","104059-002-008","203989100024_R03C01",NA
"6","104059-001-012","203989100024_R04C01",NA
"7","104059-002-009","203989100024_R05C01",NA
"8","104059-002-010","203989100024_R06C01",NA
"9","104059-002-011","203989100024_R07C01",NA
"10","104059-002-014","203991400003_R02C01",NA
"11","104059-002-012","203989100024_R08C01",NA
"12","104059-002-013","203991400003_R01C01",NA
"13","104059-002-016","203991400003_R05C01",NA
"14","104059-002-017","203991400003_R06C01",NA
"15","104059-002-018","203986510085_R01C01",NA
"16","104059-002-019","203986510085_R02C01",NA
"17","104059-002-020","203986510085_R03C01",NA
"18","104059-002-021","203986510085_R04C01",NA
"19","104059-002-022","203986510085_R06C01",NA
"20","104059-002-023","203986510085_R07C01",NA
"21","104059-002-026","203986510092_R02C01",NA
"22","104059-002-027","203986510092_R03C01",NA
"23","104059-002-028","203986510092_R04C01",NA
"24","104059-002-029","203986510092_R05C01",NA
"25","104059-001-037","203986510092_R06C01",NA
"26","104059-002-030","203986510092_R07C01",NA
"27","104059-002-031","203986510092_R08C01",NA
"28","104059-002-032","203989100035_R01C01",NA
"29","104059-002-033","203989100035_R02C01",NA
"30","104059-002-034","203989100035_R03C01",NA
"31","104059-002-035","203989100035_R04C01",NA
"32","104059-002-036","203989100035_R05C01",NA
"33","104059-002-037","203989100035_R06C01",NA
"34","104059-002-038","203989100035_R07C01",NA
"35","104059-002-042","203990170017_R02C01",NA
"36","104059-002-041","203990170017_R03C01",NA
"37","104059-002-043","203990170017_R04C01",NA
"38","104059-002-044","203990170017_R05C01",NA
"39","104059-002-045","203990170017_R06C01",NA
"40","104059-002-046",NA,NA
"41","104059-002-047",NA,NA
"42","104059-002-048","203989100142_R01C01",NA
"43","104059-002-049","203989100142_R02C01",NA
"44","104059-002-050","203989100142_R03C01",NA
"45","104059-001-060","203989100142_R04C01",NA
"46","104059-001-061","203989100142_R05C01",NA
"47","104059-002-051","203989100142_R06C01",NA
"48","104059-002-052","203989100142_R07C01",NA
"49","104059-002-053","203989100142_R08C01",NA
"50","104059-001-065","203989100107_R01C01",NA
"51","104059-002-054","203989100107_R02C01",NA
"52","104059-002-055","203989100107_R03C01",NA
"53","104059-002-056","203989100107_R04C01",NA
"54","104059-002-058","203989100107_R06C01",NA
"55","104059-003-002","203989100107_R05C01",NA
"56","104059-002-059","203989100107_R07C01",NA
"57","104059-002-060","203989100107_R08C01",NA
"58","104059-002-061","203989100096_R01C01",NA
"59","104059-002-062","203989100096_R02C01",NA
"60","104059-002-063","203989100096_R03C01",NA
"61","104059-003-004","204074220048_R05C01",NA
"62","104059-003-003","204088040040_R06C01",NA
"63","104059-002-064","203989100096_R04C01",NA
"64","104059-002-065","203989100096_R05C01",NA
"65","104059-002-066","203989100096_R06C01",NA
"66","104059-002-067","203989100096_R07C01",NA
"67","104059-003-005","204074220048_R06C01",NA
"68","104059-003-006","204074220048_R07C01",NA
"69","104059-002-068","203989100096_R08C01",NA
"70","104059-002-069","203990170082_R01C01",NA
"71","104059-002-070","203990170082_R02C01",NA
"72","104059-003-007","204808700074_R07C01",NA
"73","104059-003-008","204088040090_R01C01",NA
"74","104059-002-071","203990170082_R03C01",NA
"75","104059-002-072","203990170082_R04C01",NA
"76","104059-002-073","203990170082_R05C01",NA
"77","104059-003-009","204088040040_R07C01",NA
"78","104059-003-010","204088040090_R02C01",NA
"79","104059-002-074","204088040040_R05C01",NA
"80","104059-002-075","203990170082_R06C01",NA
"81","104059-002-076","203990170082_R07C01",NA
"82","104059-002-077","203990170082_R08C01",NA
"83","104059-003-011","204088040090_R04C01",NA
"84","104059-003-012","204088040090_R05C01",NA
"85","104059-002-078","203175700013_R01C01","AC_GII_102_P"
"86","104059-002-079","203175700013_R02C01","AC_GII_102_R1"
"87","104059-002-080","203175700013_R03C01","AA_GIII_103_P"
"88","104059-002-081","203175700013_R04C01","GB_GIV_103_R1"
"89","104059-002-082","203175700013_R05C01","AC_GII_104_P"
"90","104059-002-083","203175700013_R06C01","AC_GII_104_R1"
"91","104059-002-084","203175700013_R07C01","AC_GII_105_P"
"92","104059-002-085","203175700013_R08C01",NA
"93","104059-002-086","203519500059_R08C01",NA
"94","104059-001-097","203519500059_R07C01",NA
"95","104059-002-087","203175700014_R01C01","AC_GII_108_P"
"96","104059-002-088","203175700014_R02C01","AA_GIII_108_R1"
"97","104059-002-089","203519500059_R06C01","AC_GII_110_P"
"98","104059-002-090","203519500059_R05C01","GB_GIV_110_R1"
"99","104059-002-091","203175700014_R03C01",NA
"100","104059-002-092","203175700014_R04C01","AC_GII_111_R1"
"101","104059-002-093","203519500059_R04C01",NA
"102","104059-002-094","203519500059_R03C01","GB_GIV_113_R1"
"103","104059-003-015","203175700014_R05C01","AC_GIII_115_P"
"104","104059-002-096","203175700014_R06C01",NA
"105","104059-002-097","203175700014_R07C01",NA
"106","104059-002-098","203175700014_R08C01",NA
"107","104059-002-099","203175700015_R01C01",NA
"108","104059-002-100","203175700015_R02C01","AC_GII_117_R1"
"109","104059-002-101","203440280045_R07C01","AC_GII_118_P"
"110","104059-002-102","203440280045_R06C01","AA_GIII_118_R1"
"111","104059-002-103","204088040090_R08C01","AC_GII_119_P"
"112","104059-002-104","203175700015_R04C01","AA_GIII_119_R1"
"113","104059-002-105","203440280045_R04C01",NA
"114","104059-002-106","203440280045_R03C01",NA
"115","104059-002-107","203175700015_R05C01","AC_GII_122_P"
"116","104059-002-108","203175700015_R06C01",NA
"117","104059-002-110","203175700015_R07C01","AC_GII_124_P"
"118","104059-002-111","203175700015_R08C01","AC_GII_124_R1"
"119","104059-002-112","203175830107_R01C01","AC_GII_125_P"
"120","104059-002-113","203175830107_R02C01","GB_GIV_125_R1"
"121","104059-002-114","203519500055_R08C01","AC_GII_126_P"
"122","104059-002-115","203519500055_R07C01","AC_GII_126_R1"
"123","104059-002-116","203519500055_R06C01","AA_GIII_128_P"
"124","104059-002-117","203519500055_R05C01",NA
"125","104059-002-118","203519500055_R04C01",NA
"126","104059-002-119","203519500055_R03C01",NA
"127","104059-002-120","203519500055_R02C01",NA
"128","104059-002-123","203175830107_R05C01","AC_GII_131_P"
"129","104059-002-124","203175830107_R06C01",NA
"130","104059-002-125","203175830107_R07C01",NA
"131","104059-002-126","203175830107_R08C01","AC_GII_133_P"
"132","104059-002-127","203189480016_R01C01","AA_GIII_133_R2"
"133","104059-002-128","203189480016_R02C01",NA
"134","104059-002-129","203986510125_R01C01",NA
"135","104059-001-144","203986510125_R02C01",NA
"136","104059-002-130","203189480016_R03C01",NA
"137","104059-002-131","203189480016_R04C01",NA
"138","104059-002-132","203189480016_R05C01","AC_GII_136_P"
"139","104059-002-133","203189480016_R06C01",NA
"140","104059-002-134","203519500055_R01C01","AA_GIII_137_P"
"141","104059-002-135","203430580025_R08C01",NA
"142","104059-002-136","203189480016_R07C01","AC_GII_139_P"
"143","104059-002-137","203189480016_R08C01","AC_GII_139_R1"
"144","104059-002-138","203986510125_R03C01",NA
"145","104059-002-139","203986510125_R04C01","AC_GII_141_R1"
"146","104059-002-140","203175830088_R01C01",NA
"147","104059-002-141","203175830088_R02C01",NA
"148","104059-002-142","203175830088_R03C01","AC_GII_143_P"
"149","104059-002-143","203175830088_R04C01","AC_GII_143_R1"
"150","104059-002-144","203175830088_R05C01","AA_GIII_145_P"
"151","104059-002-145","203175830088_R06C01","GB_GIV_145_R1"
"152","104059-003-018","203430580025_R07C01","AC_GII_146_P"
"153","104059-002-147","203430580025_R06C01","GB_GIV_146_R1"
"154","104059-002-148","203430580025_R05C01","GB_GIV_147_P"
"155","104059-002-149","203430580025_R04C01","GB_GIV_147_R2"
"156","104059-002-150","203430580025_R03C01",NA
"157","104059-002-151","203175830088_R07C01",NA
"158","104059-002-152","203175830088_R08C01","AA_GIII_148_R1"
"159","104059-002-153","203430580025_R02C01","AC_GII_149_P"
"160","104059-002-154","204086170028_R01C01","AC_GII_149_R1"
"161","104059-002-155","203986510125_R05C01",NA
"162","104059-002-156","203986510125_R06C01","AA_GIII_150_R1"
"163","104059-002-157","203986510125_R07C01",NA
"164","104059-002-158","203986510125_R08C01",NA
"165","104059-002-159","204073520032_R01C01",NA
"166","104059-002-160","204073520032_R02C01","GB_GIV_156_R1"
"167","104059-002-161","204073520032_R03C01",NA
"168","104059-002-162","204073520032_R04C01","AC_GII_157_R1"
"169","104059-002-163","204073520032_R05C01",NA
"170","104059-002-164","204073520032_R06C01",NA
"171","104059-002-165","204073520032_R07C01",NA
"172","104059-002-166","204073520032_R08C01",NA
"173","104059-002-167","204073570003_R01C01",NA
"174","104059-002-168","204073570003_R02C01",NA
"175","104059-002-169","204073570003_R03C01",NA
"176","104059-002-170","204073570003_R04C01",NA
"177","104059-002-171","204073570003_R05C01",NA
"178","104059-002-172","204073570003_R06C01",NA
"179","104059-002-173","204073570003_R07C01","AC_GII_164_P"
"180","104059-002-174","204073570003_R08C01","AC_GII_164_R1"
"181","104059-001-190","204081560054_R01C01",NA
"182","104059-002-176","204081560054_R02C01",NA
"183","104059-002-177","204081560054_R03C01",NA
"184","104059-002-178","204086170028_R02C01",NA
"185","104059-002-179","204081560054_R05C01",NA
"186","104059-002-180","204081560054_R06C01",NA
"187","104059-002-181","204081560054_R07C01",NA
"188","104059-002-182","204081560054_R08C01",NA
"189","104059-001-198","204081560058_R01C01",NA
"190","104059-002-183","204081560058_R02C01",NA
"191","104059-002-184","204081560058_R03C01",NA
"192","104059-002-185","204081560058_R04C01","GB_GIV_174_R1"
"193","104059-002-186","204081560058_R05C01",NA
"194","104059-002-187","204081560058_R06C01",NA
"195","104059-002-188","204081560058_R07C01",NA
"196","104059-003-023","204088040075_R01C01",NA
"197","104059-003-024","204086170028_R03C01",NA
"198","104059-003-025","204086170028_R04C01",NA
"199","104059-003-026","204088040075_R02C01",NA
"200","104059-003-029","204073520033_R08C01",NA
"201","104059-003-030","204073570005_R01C01",NA
"202","104059-001-215","204073570005_R02C01",NA
"203","104059-003-031","204073570005_R03C01",NA
"204","104059-001-218","204073570005_R05C01",NA
"205","104059-001-219","204073570005_R06C01",NA
"206","104059-001-220","204073570005_R07C01",NA
"207","104059-003-035","204073570005_R08C01",NA
"208","104059-003-034","204086170028_R05C01",NA
"209","104059-003-037","204088040075_R03C01",NA
"210","104059-003-036","204086170028_R06C01",NA
"211","104059-003-040","204088040075_R04C01",NA
"212","104059-003-039","204086170028_R07C01",NA
"213","104059-003-045","204073510033_R07C01",NA
"214","104059-003-046","204073510033_R08C01",NA
"215","104059-002-015",NA,NA
"216","104059-003-014","204088040090_R07C01",NA
"217","104059-002-121","203175830107_R03C01","AC_GII_130_P"
"218",NA,"203175830107_R04C01","AC_GII_130_R1"
"219",NA,NA,"GB_GIV_153_R1"
